Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-04-27,2020,4,27,Monday,17,2020-17,369.64,374.62,361.57,362.03,791500.0,358.9,-0.014321035458745968,356.27142857142815,336.0026
2020-04-28,2020,4,28,Tuesday,17,2020-17,364.0,365.52,354.65,356.01,906300.0,352.93,-0.01662834475621322,357.83285714285677,337.2931999999999
2020-04-29,2020,4,29,Wednesday,17,2020-17,356.01,367.3,349.09,362.01,868000.0,358.88,0.016853404057655785,359.1199999999996,338.61999999999995
2020-04-30,2020,4,30,Thursday,17,2020-17,363.35,370.2,361.93,361.93,925500.0,358.8,-0.00022109196983766122,360.4149999999996,339.91919999999993
2020-05-01,2020,5,1,Friday,17,2020-17,358.67,364.59,356.13,357.3,794100.0,354.21,-0.012792488559362547,360.5678571428568,339.6219999999999
2020-05-04,2020,5,4,Monday,18,2020-18,356.26,361.54,356.1,359.1,626400.0,356.0,0.005037819183361991,360.62785714285684,339.38439999999986
2020-05-05,2020,5,5,Tuesday,18,2020-18,362.44,372.84,357.1,371.46,778000.0,368.25,0.03441931660283193,361.82071428571396,339.5687999999999
2020-05-06,2020,5,6,Wednesday,18,2020-18,369.58,379.56,369.58,372.3,928500.0,369.08,0.002261330103311643,362.65857142857107,339.65799999999996
2020-05-07,2020,5,7,Thursday,18,2020-18,371.0,371.97,364.13,367.17,1312200.0,364.0,-0.013779139362327664,362.9564285714282,339.68499999999995
2020-05-08,2020,5,8,Friday,18,2020-18,369.5,373.68,365.11,369.11,937600.0,365.92,0.005283618025772929,362.85928571428536,340.12259999999986
2020-05-11,2020,5,11,Monday,19,2020-19,369.15,382.73,365.03,377.49,10278800.0,374.23,0.022703312376938456,363.728571428571,340.89239999999984
2020-05-12,2020,5,12,Tuesday,19,2020-19,380.6,382.21,375.32,377.94,899100.0,374.67,0.0011920725949212674,363.3171428571424,341.5115999999998
2020-05-13,2020,5,13,Wednesday,19,2020-19,379.73,385.34,376.52,384.96,1074900.0,381.63,0.018574288438478304,364.4014285714282,342.4291999999998
2020-05-14,2020,5,14,Thursday,19,2020-19,383.88,385.97,372.51,376.01,741100.0,372.76,-0.02324903545174639,365.0185714285711,343.12159999999983
2020-05-15,2020,5,15,Friday,19,2020-19,372.14,376.08,369.42,376.04,584500.0,372.79,7.98225140259401e-05,366.01071428571396,343.98979999999983
2020-05-18,2020,5,18,Monday,20,2020-20,378.74,378.74,361.06,364.5,1017700.0,361.35,-0.03068828366149634,366.6121428571425,344.56239999999974
2020-05-19,2020,5,19,Tuesday,20,2020-20,363.0,372.32,361.41,370.01,619200.0,366.81,0.01511659066749349,367.1785714285711,345.2389999999998
2020-05-20,2020,5,20,Wednesday,20,2020-20,373.0,377.4,371.69,377.24,754100.0,373.98,0.019539938218040565,368.26285714285683,345.9149999999998
2020-05-21,2020,5,21,Thursday,20,2020-20,377.4,378.8,372.98,375.24,443500.0,372.0,-0.0053016209321040675,369.5335714285711,346.7747999999998
2020-05-22,2020,5,22,Friday,20,2020-20,376.46,378.25,367.54,372.1,639800.0,368.88,-0.00836796330638001,370.45357142857114,347.86499999999984
2020-05-26,2020,5,26,Tuesday,21,2020-21,374.95,375.37,360.13,360.16,866000.0,357.05,-0.03208813540308264,369.6535714285711,348.72819999999984
2020-05-27,2020,5,27,Wednesday,21,2020-21,363.72,375.21,360.02,373.97,1285900.0,370.74,0.038344096416023765,369.77214285714257,350.4659999999999
2020-05-28,2020,5,28,Thursday,21,2020-21,375.96,375.96,364.57,365.55,694000.0,362.39,-0.02251527576218293,369.65714285714256,351.7905999999999
2020-05-29,2020,5,29,Friday,21,2020-21,370.26,386.51,369.74,385.84,1122300.0,382.51,0.05550549158398943,370.8421428571426,353.69099999999986
2020-06-01,2020,6,1,Monday,22,2020-22,385.59,394.39,383.2,383.58,972400.0,380.26,-0.005857463313165168,371.2728571428569,354.88919999999985
2020-06-02,2020,6,2,Tuesday,22,2020-22,386.63,387.49,381.13,384.86,660200.0,381.53,0.0033370231243399218,371.76285714285683,356.5725999999998
2020-06-03,2020,6,3,Wednesday,22,2020-22,387.0,391.0,385.0,390.14,609600.0,386.77,0.013719388313376157,372.12999999999965,357.8865999999998
2020-06-04,2020,6,4,Thursday,22,2020-22,390.4,394.36,379.53,382.78,697700.0,379.47,-0.01886510779999606,372.60928571428536,358.6641999999998
2020-06-05,2020,6,5,Friday,22,2020-22,381.68,382.34,371.86,376.41,715500.0,373.16,-0.016641414385115016,372.63571428571396,359.75399999999985
2020-06-08,2020,6,8,Monday,23,2020-23,371.8,377.54,370.83,375.82,640800.0,372.57,-0.0015673568434406704,373.4371428571425,360.49379999999985
2020-06-09,2020,6,9,Tuesday,23,2020-23,376.94,385.42,374.95,382.22,818600.0,378.92,0.017029466613512234,374.3021428571424,361.35599999999977
2020-06-10,2020,6,10,Wednesday,23,2020-23,383.28,393.0,380.41,392.32,849100.0,388.93,0.026424474864956027,375.3699999999996,362.25959999999975
2020-06-11,2020,6,11,Thursday,23,2020-23,387.0,394.99,382.18,382.79,786300.0,379.48,-0.024291327384326822,375.9042857142853,363.42379999999974
2020-06-12,2020,6,12,Friday,23,2020-23,385.32,387.19,365.95,378.15,1042400.0,375.65,-0.01010450792876727,376.3878571428567,364.3189999999998
2020-06-15,2020,6,15,Monday,24,2020-24,376.57,378.68,368.82,377.92,925800.0,375.42,-0.0006082443389081593,377.69999999999953,365.2159999999998
2020-06-16,2020,6,16,Tuesday,24,2020-24,380.05,381.18,371.05,374.86,771900.0,372.38,-0.008097003741999842,377.8171428571424,366.1557999999998
2020-06-17,2020,6,17,Wednesday,24,2020-24,375.34,382.84,374.73,380.67,674000.0,378.15,0.01549921226699924,378.94285714285667,367.00699999999983
2020-06-18,2020,6,18,Thursday,24,2020-24,380.93,381.63,374.0,375.55,463200.0,373.06,-0.013450080448046076,378.2678571428567,367.84679999999986
2020-06-19,2020,6,19,Friday,24,2020-24,380.81,381.0,373.59,378.41,898700.0,375.91,0.007615486327365195,377.9571428571424,368.5477999999998
2020-06-22,2020,6,22,Monday,25,2020-25,377.04,387.1,376.05,384.63,534900.0,382.08,0.0164372129121928,377.9964285714281,369.3759999999999
2020-06-23,2020,6,23,Tuesday,25,2020-25,387.79,388.48,376.8,377.55,478400.0,375.05,-0.01840723992598159,377.1592857142853,369.8355999999999
2020-06-24,2020,6,24,Wednesday,25,2020-25,377.91,381.88,372.82,375.48,549600.0,372.99,-0.0054827360253130175,376.6964285714281,370.19219999999996
2020-06-25,2020,6,25,Thursday,25,2020-25,373.72,376.27,369.32,373.7,482900.0,371.23,-0.004740602535401317,376.55857142857104,370.58579999999995
2020-06-26,2020,6,26,Friday,25,2020-25,374.55,375.25,364.37,365.81,795600.0,363.39,-0.02111317954234282,375.90285714285676,370.7066
2020-06-29,2020,6,29,Monday,26,2020-26,365.16,370.35,362.0,369.17,485000.0,366.73,0.009185122305515048,375.0321428571425,370.8445999999999
2020-06-30,2020,6,30,Tuesday,26,2020-26,368.89,371.02,363.5,369.44,752500.0,366.99,0.0007313040837775286,373.46499999999963,370.8388
2020-07-01,2020,7,1,Wednesday,26,2020-26,371.42,377.02,369.6,375.71,436200.0,373.22,0.016971601681967652,373.01785714285677,371.06199999999995
2020-07-02,2020,7,2,Thursday,26,2020-26,377.54,379.99,372.12,374.09,415200.0,371.61,-0.004311772942292014,372.7292857142853,370.88559999999995
2020-07-06,2020,7,6,Monday,27,2020-27,378.0,387.01,376.21,385.0,669100.0,382.45,0.029164066144153233,373.2314285714282,371.2056
2020-07-07,2020,7,7,Tuesday,27,2020-27,384.74,388.73,380.88,381.14,717300.0,378.62,-0.010025875801896067,373.6771428571424,371.49559999999997
2020-07-08,2020,7,8,Wednesday,27,2020-27,381.72,385.43,381.46,384.14,494600.0,381.6,0.00787109945201414,373.92357142857105,371.9495999999999
2020-07-09,2020,7,9,Thursday,27,2020-27,386.07,387.34,378.38,385.5,546300.0,382.95,0.0035403363947366095,374.6299999999996,372.54999999999995
2020-07-10,2020,7,10,Friday,27,2020-27,387.0,398.91,383.71,398.31,861600.0,395.67,0.03322960735861513,376.0414285714282,373.2857999999999
2020-07-13,2020,7,13,Monday,28,2020-28,402.0,417.15,401.24,401.38,1170000.0,398.72,0.007707574327665778,377.2299999999996,374.0841999999999
2020-07-14,2020,7,14,Tuesday,28,2020-28,400.43,405.43,390.58,402.3,886600.0,399.64,0.0022920149157772407,378.98642857142823,374.99279999999993
2020-07-15,2020,7,15,Wednesday,28,2020-28,401.0,417.34,399.43,413.68,1158900.0,410.94,0.028287311499250123,381.69714285714247,376.0915999999999
2020-07-16,2020,7,16,Thursday,28,2020-28,404.0,422.15,403.69,407.52,1322100.0,404.82,-0.014890755700931901,384.0964285714282,376.82299999999987
2020-07-17,2020,7,17,Friday,28,2020-28,410.0,410.0,388.0,390.22,1182700.0,387.64,-0.04245190921041497,385.8285714285711,377.19419999999985
2020-07-20,2020,7,20,Monday,29,2020-29,391.1,394.68,385.13,391.43,660900.0,388.84,0.0031009075043411105,387.4078571428568,377.69099999999986
2020-07-21,2020,7,21,Tuesday,29,2020-29,395.0,395.64,386.56,387.81,553700.0,385.24,-0.009248065137822392,388.71142857142826,378.0773999999999
2020-07-22,2020,7,22,Wednesday,29,2020-29,388.47,395.22,387.41,389.12,568000.0,386.54,0.003377868288723551,389.6628571428568,378.32359999999994
2020-07-23,2020,7,23,Thursday,29,2020-29,389.99,390.6,377.9,381.32,618000.0,378.8,-0.02004518610550543,390.1764285714283,378.40619999999996
2020-07-24,2020,7,24,Friday,29,2020-29,379.48,387.23,376.58,386.91,549100.0,384.35,0.014659632294679925,390.3121428571426,378.4605999999999
2020-07-27,2020,7,27,Monday,30,2020-30,390.62,394.89,387.11,389.61,549600.0,387.03,0.006978290099382667,390.91285714285686,378.7459999999999
2020-07-28,2020,7,28,Tuesday,30,2020-30,389.54,390.83,384.77,385.42,476800.0,382.87,-0.010754336401168518,391.0035714285711,378.94759999999985
2020-07-29,2020,7,29,Wednesday,30,2020-30,387.19,389.3,384.3,385.15,435900.0,382.6,-0.0007005507162372027,390.9785714285712,379.37259999999986
2020-07-30,2020,7,30,Thursday,30,2020-30,383.0,386.04,379.68,384.53,678800.0,381.98,-0.0016097879446169694,390.000714285714,379.6759999999998
2020-07-31,2020,7,31,Friday,30,2020-30,384.92,387.12,377.96,386.61,640200.0,384.05,0.0054091784745280425,388.9528571428569,379.87739999999985
2020-08-03,2020,8,3,Monday,31,2020-31,387.45,393.96,382.0,387.03,558500.0,384.47,0.0010864090089943712,387.86928571428547,380.12679999999983
2020-08-04,2020,8,4,Tuesday,31,2020-31,385.0,392.03,383.54,391.86,441100.0,389.27,0.01247958942872307,386.3214285714284,380.53459999999984
2020-08-05,2020,8,5,Wednesday,31,2020-31,389.97,394.5,388.6,393.44,535700.0,390.84,0.004032151848242016,385.322857142857,381.2103999999999
2020-08-06,2020,8,6,Thursday,31,2020-31,392.19,395.24,390.92,392.55,312500.0,389.95,-0.0022621392336508173,385.48785714285697,381.59459999999984
2020-08-07,2020,8,7,Friday,31,2020-31,392.58,393.85,385.0,389.12,472400.0,386.54,-0.008737719942654265,385.3235714285712,382.07759999999985
2020-08-10,2020,8,10,Monday,32,2020-32,389.56,391.92,384.4,385.93,410300.0,383.38,-0.00819798515476089,385.1907142857141,382.0949999999999
2020-08-11,2020,8,11,Tuesday,32,2020-32,384.0,391.18,381.87,388.65,453700.0,386.08,0.007047911453542666,385.1578571428569,382.21139999999997
2020-08-12,2020,8,12,Wednesday,32,2020-32,390.36,395.95,388.02,392.67,413900.0,390.07,0.010343543237427255,385.96285714285693,382.3822
2020-08-13,2020,8,13,Thursday,32,2020-32,394.38,399.48,392.26,399.04,580800.0,396.4,0.01622223404455081,386.82357142857114,382.57480000000004
2020-08-14,2020,8,14,Friday,32,2020-32,399.98,400.9,393.67,398.99,341600.0,396.35,-0.00012525800300100531,387.4892857142855,382.9124
2020-08-17,2020,8,17,Monday,33,2020-33,401.0,409.8,401.0,409.39,840600.0,406.68,0.026065783088020433,389.18999999999977,383.58279999999996
2020-08-18,2020,8,18,Tuesday,33,2020-33,410.0,413.73,406.17,411.45,439300.0,408.73,0.005031932087526947,391.0564285714284,384.306
2020-08-19,2020,8,19,Wednesday,33,2020-33,413.45,416.3,408.02,414.23,612300.0,411.49,0.006756588255936835,393.16428571428554,384.95740000000006
2020-08-20,2020,8,20,Thursday,33,2020-33,413.33,419.66,412.82,418.33,511100.0,415.56,0.009897770943488426,395.41499999999985,385.49000000000007
